model_name,training_size,accuracy
BERT,100,0.225
BERT,100,0.225
BERT,100,0.301
BERT,100,0.2919
BERT,100,0.291
BERT,200,0.419
BERT,200,0.291
BERT,200,0.291
BERT,200,0.291
BERT,200,0.3315
BERT,400,0.5555
BERT,400,0.58
BERT,400,0.419
BERT,400,0.532
BERT,400,0.291
BERT,800,0.6265
BERT,800,0.291
BERT,800,0.6605
BERT,800,0.4425
BERT,800,0.639
BERT,1600,0.669
BERT,1600,0.66
BERT,1600,0.677
BERT,1600,0.6635
BERT,1600,0.6685
BERT,3200,0.6775
BERT,3200,0.6865
BERT,3200,0.6855
BERT,3200,0.664
BERT,3200,0.673
BERT,5000,0.6895
BERT,5000,0.682
BERT,5000,0.6875
BERT,5000,0.704
BERT,5000,0.6925
BERT,10000,0.7045
BERT,10000,0.706
BERT,10000,0.724
BERT,10000,0.728
BERT,10000,0.731
