model_name,training_size,accuracy
xlnet,100,0.2515000104904175
xlnet,100,0.20600000023841858
xlnet,100,0.265500009059906
xlnet,100,0.23649999499320984
xlnet,100,0.26649999618530273
xlnet,200,0.3720000088214874
xlnet,200,0.2865000069141388
xlnet,200,0.28700000047683716
xlnet,200,0.38100001215934753
xlnet,200,0.31700000166893005
xlnet,400,0.460999995470047
xlnet,400,0.41499999165534973
xlnet,400,0.4065000116825104
xlnet,400,0.4595000147819519
xlnet,400,0.34049999713897705
xlnet,800,0.5080000162124634
xlnet,800,0.5335000157356262
xlnet,800,0.527999997138977
xlnet,800,0.5080000162124634
xlnet,800,0.5339999794960022
xlnet,1600,0.5360000133514404
xlnet,1600,0.559499979019165
xlnet,1600,0.5569999814033508
xlnet,1600,0.5339999794960022
xlnet,1600,0.5364999771118164
xlnet,3200,0.5605000257492065
xlnet,3200,0.5575000047683716
xlnet,3200,0.5649999976158142
xlnet,3200,0.5640000104904175
xlnet,3200,0.5699999928474426
xlnet,5000,0.5764999985694885
xlnet,5000,0.5734999775886536
xlnet,5000,0.5789999961853027
xlnet,5000,0.5805000066757202
xlnet,5000,0.5759999752044678
