model_name,training_size,accuracy
xlnet,100,0.3935000002384186
xlnet,100,0.5490000247955322
xlnet,100,0.5634999871253967
xlnet,100,0.3199999928474426
xlnet,100,0.41350001096725464
xlnet,200,0.6869999766349792
xlnet,200,0.7110000252723694
xlnet,200,0.7294999957084656
xlnet,200,0.7570000290870667
xlnet,200,0.5145000219345093
xlnet,400,0.7904999852180481
xlnet,400,0.781499981880188
xlnet,400,0.7599999904632568
xlnet,400,0.7799999713897705
xlnet,400,0.8029999732971191
xlnet,800,0.8215000033378601
xlnet,800,0.8195000290870667
xlnet,800,0.8190000057220459
xlnet,800,0.8050000071525574
xlnet,800,0.8125
xlnet,1600,0.8314999938011169
xlnet,1600,0.8399999737739563
xlnet,1600,0.8255000114440918
xlnet,1600,0.8345000147819519
xlnet,1600,0.8330000042915344
xlnet,3200,0.8364999890327454
xlnet,3200,0.8399999737739563
xlnet,3200,0.840499997138977
xlnet,3200,0.840499997138977
xlnet,3200,0.8360000252723694
xlnet,5000,0.8495000004768372
xlnet,5000,0.8489999771118164
xlnet,5000,0.8460000157356262
xlnet,5000,0.8349999785423279
xlnet,5000,0.8495000004768372
