"model_name","accuracy","dataset","class_num","training_size","stage"
"RandomForest",0.811994972167355,"dbpedia","13",10000,"stage1"
"RandomForest",0.815373563218391,"dbpedia","13",10000,"stage1"
"RandomForest",0.817349137931034,"dbpedia","13",10000,"stage1"
"RandomForest",0.81555316091954,"dbpedia","13",10000,"stage1"
"RandomForest",0.818067528735632,"dbpedia","13",10000,"stage1"
"LinearSVC",0.976836056742683,"dbpedia","13",10000,"stage1"
"LinearSVC",0.97503591954023,"dbpedia","13",10000,"stage1"
"LinearSVC",0.976293103448276,"dbpedia","13",10000,"stage1"
"LinearSVC",0.971084770114943,"dbpedia","13",10000,"stage1"
"LinearSVC",0.970725574712644,"dbpedia","13",10000,"stage1"
"NaiveBayes",0.962650386065721,"dbpedia","13",10000,"stage1"
"NaiveBayes",0.961386494252874,"dbpedia","13",10000,"stage1"
"NaiveBayes",0.95923132183908,"dbpedia","13",10000,"stage1"
"NaiveBayes",0.957794540229885,"dbpedia","13",10000,"stage1"
"NaiveBayes",0.957255747126437,"dbpedia","13",10000,"stage1"
"LogisticRegression",0.970371700484827,"dbpedia","13",10000,"stage1"
"LogisticRegression",0.970007183908046,"dbpedia","13",10000,"stage1"
"LogisticRegression",0.971264367816092,"dbpedia","13",10000,"stage1"
"LogisticRegression",0.966594827586207,"dbpedia","13",10000,"stage1"
"LogisticRegression",0.966235632183908,"dbpedia","13",10000,"stage1"
"RandomForest",0.811994972167355,"dbpedia","13",10000,"stage1"
"RandomForest",0.815373563218391,"dbpedia","13",10000,"stage1"
"RandomForest",0.817349137931034,"dbpedia","13",10000,"stage1"
"RandomForest",0.81555316091954,"dbpedia","13",10000,"stage1"
"RandomForest",0.818067528735632,"dbpedia","13",10000,"stage1"
"LinearSVC",0.976836056742683,"dbpedia","13",10000,"stage1"
"LinearSVC",0.97503591954023,"dbpedia","13",10000,"stage1"
"LinearSVC",0.976293103448276,"dbpedia","13",10000,"stage1"
"LinearSVC",0.971084770114943,"dbpedia","13",10000,"stage1"
"LinearSVC",0.970725574712644,"dbpedia","13",10000,"stage1"
"NaiveBayes",0.962650386065721,"dbpedia","13",10000,"stage1"
"NaiveBayes",0.961386494252874,"dbpedia","13",10000,"stage1"
"NaiveBayes",0.95923132183908,"dbpedia","13",10000,"stage1"
"NaiveBayes",0.957794540229885,"dbpedia","13",10000,"stage1"
"NaiveBayes",0.957255747126437,"dbpedia","13",10000,"stage1"
"LogisticRegression",0.970371700484827,"dbpedia","13",10000,"stage1"
"LogisticRegression",0.970007183908046,"dbpedia","13",10000,"stage1"
"LogisticRegression",0.971264367816092,"dbpedia","13",10000,"stage1"
"LogisticRegression",0.966594827586207,"dbpedia","13",10000,"stage1"
"LogisticRegression",0.966235632183908,"dbpedia","13",10000,"stage1"
"BERT",0.992278695106506,"dbpedia","13",10000,"stage1"
"BERT",0.989044547080994,"dbpedia","13",10000,"stage1"
"BERT",0.990301728248596,"dbpedia","13",10000,"stage1"
"BERT",0.990122139453888,"dbpedia","13",10000,"stage1"
"BERT",0.987966954708099,"dbpedia","13",10000,"stage1"
"RandomForest",0.7155,"agnews","4",10000,"stage1"
"RandomForest",0.698,"agnews","4",10000,"stage1"
"RandomForest",0.7285,"agnews","4",10000,"stage1"
